ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
1327,D,Ship,3,1,255.0,5,low,F,1.0,2713.0,1
1328,F,Ship,4,5,113.0,6,medium,M,25.0,1538.0,1
1329,A,Ship,5,1,201.0,3,medium,F,65.0,2488.0,1
1330,B,Ship,3,1,184.0,3,medium,F,49.0,2823.0,1
1331,C,Ship,3,1,199.0,2,medium,F,18.0,3346.0,1
1332,F,Ship,4,4,255.0,2,medium,M,29.0,2267.0,1
1333,D,Ship,4,5,269.0,4,medium,M,60.0,3456.0,1
1334,F,Ship,5,5,260.0,2,low,F,23.0,3065.0,1
1335,A,Ship,3,1,198.0,4,medium,F,44.0,2848.0,1
1336,B,Ship,4,2,256.0,2,medium,M,10.0,3128.0,1
1337,C,Ship,3,1,140.0,4,low,M,27.0,1184.0,1
1338,F,Ship,3,4,165.0,4,medium,F,7.0,1627.0,1
1339,D,Ship,3,3,144.0,3,low,M,1.0,1274.0,1
1340,F,Ship,2,2,240.0,3,low,M,53.0,2980.0,1
1341,A,Ship,4,2,183.0,4,low,M,15.0,3632.0,1
1342,B,Ship,5,3,201.0,2,low,M,4.0,3757.0,1
1343,C,Ship,4,4,216.0,2,medium,F,6.0,3255.0,1
1344,F,Road,4,5,218.0,3,low,M,25.0,2682.0,1
1345,D,Road,3,4,147.0,3,low,F,2.0,1307.0,1
1346,F,Road,3,5,264.0,2,medium,F,1.0,3947.0,1
1347,A,Road,4,4,145.0,3,low,F,43.0,1651.0,1
1348,B,Road,3,5,264.0,6,low,M,30.0,2751.0,1
1349,C,Road,4,5,253.0,2,medium,F,43.0,2589.0,1
1350,F,Road,2,4,257.0,6,low,M,5.0,3986.0,1
1351,D,Road,4,1,202.0,3,high,M,59.0,2563.0,1
1352,F,Road,5,5,245.0,4,medium,F,12.0,2225.0,1
1353,A,Road,4,1,162.0,2,low,F,47.0,1540.0,1
1354,B,Road,3,2,158.0,3,medium,F,39.0,1512.0,1
1355,C,Road,3,1,182.0,3,medium,F,40.0,3536.0,1
1356,F,Road,3,4,218.0,3,medium,F,4.0,3534.0,1
1357,D,Road,4,5,201.0,3,medium,M,41.0,3563.0,1
1358,F,Road,5,1,184.0,4,medium,F,38.0,2232.0,1
1359,A,Road,4,1,241.0,3,medium,F,61.0,3812.0,1
1360,B,Road,5,5,263.0,2,medium,M,59.0,3238.0,1
1361,C,Road,5,5,230.0,2,medium,F,36.0,3381.0,1
1362,F,Road,3,4,240.0,3,low,F,28.0,2356.0,1
1363,D,Road,4,5,233.0,3,medium,F,43.0,3856.0,1
1364,F,Road,4,3,237.0,2,medium,M,22.0,2912.0,1
1365,A,Road,5,4,144.0,3,low,F,59.0,1178.0,1
1366,B,Flight,3,1,167.0,3,low,M,1.0,1252.0,1
1367,C,Flight,4,5,138.0,3,low,F,64.0,1708.0,1
1368,F,Flight,5,3,165.0,2,medium,M,51.0,1429.0,1
1369,D,Flight,4,3,247.0,4,low,F,19.0,3838.0,1
1370,F,Flight,3,2,152.0,6,low,F,7.0,1674.0,1
1371,A,Flight,5,3,199.0,4,low,F,24.0,3473.0,1
1372,B,Flight,5,4,268.0,3,medium,M,6.0,2206.0,1
1373,C,Flight,4,5,150.0,2,low,F,30.0,1782.0,1
1374,F,Flight,5,5,190.0,4,medium,F,47.0,3644.0,1
1375,D,Flight,4,3,153.0,4,low,M,36.0,1171.0,1
1376,F,Flight,4,2,185.0,3,low,M,27.0,3410.0,1
1377,A,Flight,5,1,274.0,3,medium,M,58.0,2098.0,1
1378,B,Flight,4,3,258.0,2,high,M,11.0,2252.0,1
1379,C,Flight,3,1,110.0,3,low,F,54.0,1155.0,1
1380,F,Flight,3,5,240.0,6,low,M,21.0,3559.0,1
1381,D,Flight,6,5,118.0,2,low,F,6.0,1726.0,1
1382,F,Flight,3,2,243.0,2,low,F,38.0,3850.0,1
1383,A,Flight,6,2,225.0,6,low,M,44.0,2057.0,1
1384,B,Flight,3,2,238.0,4,medium,F,49.0,3179.0,1
1385,C,Flight,4,4,127.0,5,low,F,16.0,1955.0,1
1386,F,Flight,3,5,166.0,2,low,M,45.0,1665.0,1
1387,D,Flight,3,1,180.0,3,low,F,29.0,1414.0,1
1388,F,Ship,4,4,161.0,2,medium,M,59.0,1941.0,1
1389,A,Ship,5,1,230.0,3,low,F,43.0,2994.0,1
1390,B,Ship,5,3,167.0,3,low,F,51.0,1573.0,1
1391,C,Ship,4,5,186.0,3,low,F,16.0,2693.0,1
1392,F,Ship,4,4,150.0,3,high,M,9.0,1620.0,1
1393,D,Ship,4,1,253.0,7,medium,M,37.0,2955.0,1
1394,F,Ship,5,2,239.0,2,medium,F,59.0,2897.0,1
1395,A,Ship,6,2,294.0,4,low,M,57.0,1265.0,1
1396,B,Ship,4,2,158.0,4,low,F,45.0,1758.0,1
1397,C,Ship,6,3,135.0,5,low,F,20.0,1266.0,1
1398,F,Ship,4,2,238.0,3,low,F,28.0,1040.0,1
1399,D,Ship,6,3,213.0,3,low,M,17.0,1656.0,1
1400,F,Ship,5,2,165.0,2,medium,F,18.0,1918.0,1
1401,A,Ship,4,3,247.0,4,low,M,16.0,2362.0,1
1402,B,Ship,3,5,152.0,6,low,F,32.0,1158.0,1
1403,C,Ship,5,4,199.0,4,low,M,24.0,3443.0,1
1404,F,Ship,5,2,268.0,3,medium,F,41.0,3716.0,1
1405,D,Ship,4,3,150.0,2,low,M,51.0,1491.0,1
1406,F,Ship,5,1,190.0,4,medium,M,24.0,3446.0,1
1407,A,Ship,4,1,153.0,4,low,M,7.0,1130.0,1
1408,B,Ship,4,4,185.0,3,low,M,13.0,2080.0,1
1409,C,Ship,5,3,274.0,3,medium,F,54.0,2905.0,1
1410,F,Ship,4,5,258.0,2,high,M,5.0,3512.0,1
1411,D,Ship,3,4,110.0,3,low,F,55.0,1281.0,1
1412,F,Ship,3,2,240.0,6,low,F,26.0,2683.0,1
1413,A,Ship,6,2,118.0,2,low,F,2.0,1744.0,1
1414,B,Ship,3,4,243.0,2,low,F,14.0,3693.0,1
1415,C,Ship,6,5,225.0,6,low,F,55.0,2052.0,1
1416,F,Ship,3,3,238.0,4,medium,M,57.0,3537.0,1
1417,D,Ship,4,3,127.0,5,low,F,5.0,1205.0,1
1418,F,Ship,3,3,166.0,2,low,F,45.0,1791.0,1
1419,A,Ship,3,5,180.0,3,low,M,6.0,1228.0,1
1420,B,Ship,4,5,161.0,2,medium,M,55.0,1457.0,1
1421,C,Ship,5,4,230.0,3,low,F,39.0,3989.0,1
1422,F,Ship,5,5,167.0,3,low,F,53.0,1564.0,1
1423,D,Ship,4,3,186.0,3,low,F,25.0,3851.0,1
1424,F,Ship,4,2,150.0,3,high,F,32.0,1689.0,1
1425,A,Ship,4,5,253.0,7,medium,F,11.0,3825.0,1
1426,B,Ship,5,2,239.0,2,medium,F,15.0,2471.0,1
1427,C,Ship,6,3,294.0,4,low,M,52.0,1667.0,1
1428,F,Ship,4,5,158.0,4,low,F,4.0,1595.0,1
1429,D,Ship,6,2,135.0,5,low,M,26.0,1585.0,1
1430,F,Ship,4,5,238.0,3,low,M,9.0,1724.0,1
1431,A,Ship,6,2,265.0,3,low,M,3.0,1904.0,1
1432,B,Ship,5,5,180.0,5,medium,M,35.0,1725.0,1
1433,C,Ship,7,2,229.0,3,low,F,43.0,1793.0,1
1434,F,Ship,3,2,176.0,3,low,M,51.0,1297.0,1
1435,D,Ship,3,5,172.0,2,medium,M,60.0,1840.0,1
1436,F,Ship,6,5,100.0,4,medium,F,3.0,1440.0,1
1437,A,Ship,4,3,142.0,6,low,M,6.0,1459.0,1
1438,B,Ship,4,3,153.0,3,medium,M,2.0,1095.0,1
1439,C,Ship,3,4,160.0,4,low,F,56.0,1408.0,1
1440,F,Ship,4,3,217.0,3,medium,F,16.0,3444.0,1
1441,D,Ship,3,2,273.0,3,low,M,41.0,3464.0,1
1442,F,Ship,3,4,133.0,3,low,M,17.0,1187.0,1
1443,A,Ship,3,4,155.0,4,low,M,54.0,1885.0,1
1444,B,Ship,5,3,184.0,4,medium,F,2.0,3798.0,1
1445,C,Ship,5,5,230.0,3,medium,M,43.0,3609.0,1
1446,F,Ship,3,4,254.0,3,high,M,53.0,3538.0,1
1447,D,Ship,4,5,108.0,6,medium,M,46.0,1882.0,1
1448,F,Ship,4,4,154.0,3,low,M,52.0,1367.0,1
1449,A,Ship,5,3,177.0,3,low,F,1.0,1916.0,1
1450,B,Ship,3,3,162.0,2,medium,M,65.0,1184.0,1
1451,C,Ship,3,4,285.0,6,low,F,27.0,2249.0,1
1452,F,Ship,3,2,257.0,3,low,F,6.0,3620.0,1
1453,D,Ship,4,5,143.0,3,low,F,48.0,1922.0,1
1454,F,Ship,6,3,223.0,6,medium,M,29.0,2980.0,1
1455,A,Ship,3,5,230.0,2,low,M,27.0,3840.0,1
1456,B,Ship,4,5,241.0,4,medium,M,58.0,2874.0,1
1457,C,Ship,3,5,156.0,3,medium,M,44.0,1424.0,1
1458,F,Ship,4,4,232.0,4,low,M,27.0,3436.0,1
1459,D,Ship,3,2,231.0,3,low,M,55.0,3952.0,1
1460,F,Ship,3,4,183.0,2,medium,F,52.0,2078.0,1
1461,A,Ship,4,1,240.0,3,low,M,50.0,2430.0,1
1462,B,Ship,4,4,218.0,2,medium,M,27.0,2824.0,1
1463,C,Ship,5,1,248.0,3,low,M,37.0,3830.0,1
1464,F,Ship,4,3,170.0,2,medium,F,33.0,1980.0,1
1465,D,Ship,3,2,226.0,3,low,M,11.0,3708.0,1
1466,F,Ship,4,3,232.0,3,low,M,11.0,2624.0,1
1467,A,Ship,4,1,192.0,3,low,F,15.0,3460.0,1
1468,B,Ship,3,5,250.0,4,low,F,11.0,3464.0,1
1469,C,Ship,5,5,224.0,3,medium,F,48.0,2298.0,1
1470,F,Ship,3,3,167.0,3,medium,F,42.0,1363.0,1
1471,D,Ship,2,3,123.0,2,medium,M,11.0,1383.0,1
1472,F,Ship,5,2,243.0,2,medium,F,4.0,3681.0,1
1473,A,Ship,4,3,233.0,2,low,F,45.0,2732.0,1
1474,B,Ship,3,3,201.0,2,high,M,36.0,3340.0,1
1475,C,Ship,3,1,230.0,2,medium,F,18.0,2832.0,1
1476,F,Ship,4,3,271.0,3,low,M,59.0,2996.0,1
1477,D,Ship,4,1,159.0,3,medium,M,13.0,1445.0,1
1478,F,Ship,3,3,249.0,3,low,M,55.0,3375.0,1
1479,A,Ship,3,4,137.0,3,medium,F,17.0,1212.0,1
1480,B,Ship,3,5,225.0,3,medium,M,8.0,3813.0,1
1481,C,Road,4,1,226.0,3,low,F,28.0,2211.0,1
1482,F,Road,4,4,174.0,3,low,M,49.0,1141.0,1
1483,D,Road,5,2,264.0,5,low,F,27.0,3118.0,1
1484,F,Road,4,4,151.0,3,medium,F,6.0,1930.0,1
1485,A,Road,3,1,180.0,2,low,F,65.0,1321.0,1
1486,B,Road,3,4,149.0,2,medium,F,37.0,1080.0,1
1487,C,Road,3,1,209.0,3,low,F,20.0,3181.0,1
1488,F,Road,6,1,219.0,6,low,F,10.0,2385.0,1
1489,D,Road,4,3,164.0,3,low,M,28.0,1880.0,1
1490,F,Road,3,1,268.0,3,medium,M,3.0,3040.0,1
1491,A,Road,4,4,204.0,4,medium,F,35.0,2513.0,1
1492,B,Road,5,5,226.0,3,medium,M,23.0,2626.0,1
1493,C,Road,5,1,105.0,5,low,M,1.0,1101.0,1
1494,F,Road,4,5,153.0,3,low,M,10.0,1183.0,1
1495,D,Road,3,5,192.0,2,medium,F,5.0,2339.0,1
1496,F,Road,4,3,199.0,2,low,F,28.0,2607.0,1
1497,A,Road,5,2,156.0,4,medium,M,39.0,1204.0,1
1498,B,Road,3,2,180.0,2,low,M,53.0,1853.0,1
1499,C,Road,4,5,162.0,2,medium,M,62.0,1650.0,1
1500,F,Road,5,5,284.0,6,low,M,9.0,3912.0,1
1501,D,Road,4,1,271.0,2,high,M,33.0,3269.0,1
1502,F,Road,3,1,269.0,2,medium,M,38.0,2195.0,1
1503,A,Flight,3,4,135.0,3,low,M,11.0,1740.0,1
1504,B,Flight,5,2,200.0,2,low,F,2.0,2075.0,1
1505,C,Flight,5,2,206.0,6,medium,M,23.0,2016.0,1
1506,F,Flight,4,2,229.0,4,low,F,32.0,3518.0,1
1507,D,Flight,5,3,267.0,3,low,M,48.0,3393.0,1
1508,F,Flight,4,1,135.0,2,medium,F,64.0,1471.0,1
1509,A,Flight,4,5,259.0,2,medium,M,15.0,2381.0,1
1510,B,Flight,3,3,223.0,2,medium,M,30.0,3622.0,1
1511,C,Flight,3,4,245.0,4,low,M,20.0,2534.0,1
1512,F,Flight,4,4,207.0,3,low,M,20.0,2637.0,1
1513,D,Flight,5,3,171.0,3,medium,M,62.0,1304.0,1
1514,F,Flight,3,5,130.0,5,low,F,27.0,1891.0,1
1515,A,Flight,3,2,241.0,3,medium,F,60.0,3922.0,1
1516,B,Flight,4,4,261.0,3,low,F,33.0,3678.0,1
1517,C,Flight,3,5,182.0,3,medium,M,34.0,3595.0,1
1518,F,Flight,3,2,270.0,4,high,M,29.0,3768.0,1
1519,D,Flight,3,5,157.0,4,medium,M,26.0,1969.0,1
1520,F,Flight,3,3,172.0,4,low,F,33.0,1989.0,1
1521,A,Flight,3,3,205.0,2,medium,F,2.0,2910.0,1
1522,B,Flight,4,5,268.0,3,medium,M,7.0,3622.0,1
1523,C,Flight,3,1,156.0,3,medium,F,1.0,1517.0,1
1524,F,Flight,3,5,202.0,2,low,F,4.0,3372.0,1
1525,D,Ship,3,1,249.0,3,low,F,43.0,3277.0,1
1526,F,Ship,3,2,141.0,3,medium,F,41.0,1801.0,1
1527,A,Ship,3,1,230.0,2,medium,M,28.0,3646.0,1
1528,B,Ship,5,5,229.0,2,medium,F,59.0,3844.0,1
1529,C,Ship,4,5,146.0,4,low,F,25.0,1606.0,1
1530,F,Ship,3,3,162.0,2,low,F,26.0,1659.0,1
1531,D,Ship,5,2,241.0,3,low,M,39.0,3743.0,1
1532,F,Ship,3,4,271.0,2,low,M,14.0,2163.0,1
1533,A,Ship,3,5,166.0,3,high,F,31.0,1117.0,1
1534,B,Ship,3,1,171.0,3,medium,M,28.0,1075.0,1
1535,C,Ship,3,5,169.0,2,low,F,20.0,1021.0,1
1536,F,Ship,3,1,137.0,3,low,M,47.0,1611.0,1
1537,D,Ship,3,4,211.0,3,low,M,56.0,3654.0,1
1538,F,Ship,4,5,171.0,3,medium,F,2.0,1114.0,1
1539,A,Ship,4,4,142.0,4,medium,M,2.0,1461.0,1
1540,B,Ship,3,2,184.0,4,medium,F,10.0,2972.0,1
1541,C,Ship,6,5,111.0,6,high,F,28.0,1216.0,1
1542,F,Ship,2,5,278.0,4,low,M,34.0,3416.0,1
1543,D,Ship,3,5,160.0,2,medium,F,41.0,1495.0,1
1544,F,Ship,3,4,212.0,2,medium,F,56.0,3976.0,1
1545,A,Ship,3,5,175.0,2,low,M,59.0,1051.0,1
1546,B,Ship,4,3,251.0,3,medium,F,46.0,2632.0,1
1547,C,Ship,3,3,205.0,2,low,F,15.0,3231.0,1
1548,F,Ship,5,5,163.0,3,low,M,54.0,1536.0,1
1549,D,Ship,4,1,272.0,2,low,M,27.0,2030.0,1
1550,F,Ship,4,1,134.0,3,medium,F,37.0,1818.0,1
1551,A,Ship,5,5,259.0,2,medium,M,63.0,2583.0,1
1552,B,Ship,3,3,246.0,3,medium,F,45.0,3945.0,1
1553,C,Ship,4,1,211.0,2,medium,F,44.0,3099.0,1
1554,F,Ship,4,2,190.0,2,medium,F,6.0,3595.0,1
1555,D,Ship,4,5,233.0,5,medium,F,44.0,2648.0,1
1556,F,Ship,5,4,199.0,2,high,F,20.0,2553.0,1
1557,A,Ship,5,2,191.0,3,high,F,52.0,2028.0,1
1558,B,Ship,4,1,148.0,3,low,M,30.0,1731.0,1
1559,C,Ship,2,5,177.0,6,medium,F,41.0,1772.0,1
1560,F,Ship,3,1,171.0,2,low,M,1.0,1629.0,1
1561,D,Ship,3,3,237.0,3,medium,M,57.0,3761.0,1
1562,F,Ship,4,4,265.0,3,medium,F,47.0,3307.0,1
1563,A,Ship,4,2,136.0,2,medium,M,19.0,1387.0,1
1564,B,Ship,3,1,145.0,2,high,M,25.0,1851.0,1
1565,C,Ship,4,1,238.0,2,low,F,3.0,2241.0,1
1566,F,Ship,4,4,210.0,3,medium,F,14.0,3666.0,1
1567,D,Ship,5,1,159.0,4,low,M,38.0,1277.0,1
1568,F,Ship,4,1,232.0,2,medium,F,26.0,3300.0,1
1569,A,Ship,3,2,174.0,3,low,M,4.0,1337.0,1
1570,B,Ship,5,1,129.0,5,medium,M,35.0,1458.0,1
1571,C,Ship,3,3,201.0,4,medium,M,7.0,2299.0,1
1572,F,Ship,5,2,151.0,4,low,M,12.0,1145.0,1
1573,D,Ship,2,1,252.0,3,low,F,12.0,2800.0,1
1574,F,Ship,5,3,156.0,3,medium,M,58.0,1218.0,1
1575,A,Ship,6,3,215.0,5,low,M,13.0,3899.0,1
1576,B,Ship,4,4,153.0,3,low,M,13.0,1402.0,1
1577,C,Ship,5,1,261.0,3,low,M,25.0,3494.0,1
1578,F,Ship,5,4,263.0,3,medium,M,61.0,2606.0,1
1579,D,Ship,5,4,153.0,6,medium,M,35.0,1082.0,1
1580,F,Ship,3,5,137.0,3,high,F,28.0,1815.0,1
1581,A,Ship,3,5,270.0,5,low,M,31.0,3737.0,1
1582,B,Ship,5,1,167.0,2,low,M,62.0,1884.0,1
1583,C,Ship,3,3,143.0,3,low,M,64.0,1630.0,1
1584,F,Ship,5,5,214.0,3,low,F,31.0,2033.0,1
1585,D,Ship,2,2,182.0,2,medium,F,14.0,3751.0,1
1586,F,Ship,3,5,234.0,2,high,M,4.0,2701.0,1
1587,A,Ship,4,5,181.0,2,medium,M,59.0,2239.0,1
1588,B,Ship,2,4,162.0,3,low,F,34.0,1558.0,1
1589,C,Ship,5,4,185.0,4,medium,M,31.0,3565.0,1
1590,F,Ship,4,2,199.0,2,medium,F,4.0,3351.0,1
1591,D,Ship,4,1,272.0,3,medium,M,49.0,2803.0,1
1592,F,Ship,5,3,252.0,2,low,M,11.0,3036.0,1
1593,A,Ship,4,5,156.0,3,low,F,2.0,1127.0,1
1594,B,Ship,4,2,173.0,3,medium,F,63.0,1220.0,1
1595,C,Ship,3,2,148.0,4,medium,F,38.0,1322.0,1
1596,F,Ship,4,3,158.0,3,medium,F,27.0,1207.0,1
1597,D,Ship,5,2,261.0,3,low,M,62.0,3352.0,1
1598,F,Ship,2,4,105.0,2,medium,M,54.0,1707.0,1
1599,A,Ship,3,5,193.0,3,high,F,57.0,3364.0,1
1600,B,Ship,3,3,198.0,3,low,M,49.0,2446.0,1
1601,C,Ship,4,5,213.0,3,medium,F,42.0,3121.0,1
1602,F,Ship,4,1,244.0,3,low,M,59.0,3073.0,1
1603,D,Ship,6,4,241.0,6,high,F,61.0,2806.0,1
1604,F,Ship,4,5,278.0,6,low,M,4.0,3909.0,1
1605,A,Ship,2,2,145.0,2,low,M,1.0,1126.0,1
1606,B,Ship,5,2,140.0,4,high,M,58.0,1175.0,1
1607,C,Ship,4,4,209.0,3,medium,M,37.0,3026.0,1
1608,F,Ship,3,3,233.0,3,medium,M,35.0,2204.0,1
1609,D,Ship,3,1,227.0,3,medium,M,52.0,3336.0,1
1610,F,Ship,5,1,258.0,2,medium,F,22.0,3713.0,1
1611,A,Ship,5,4,259.0,3,low,F,38.0,3720.0,1
1612,B,Ship,3,5,153.0,2,low,F,44.0,1585.0,1
1613,C,Ship,3,5,181.0,3,medium,M,22.0,3575.0,1
1614,F,Ship,4,4,143.0,8,medium,F,39.0,1345.0,1
1615,D,Ship,5,2,111.0,5,medium,M,3.0,1711.0,1
1616,F,Ship,4,5,198.0,2,medium,M,51.0,2820.0,1
1617,A,Ship,3,4,121.0,3,low,F,63.0,1611.0,1
1618,B,Road,3,2,204.0,3,medium,M,48.0,2792.0,1
1619,C,Road,4,4,203.0,5,low,M,36.0,3912.0,1
1620,F,Road,4,1,167.0,3,low,F,10.0,1616.0,1
1621,D,Road,4,1,270.0,3,medium,F,64.0,2406.0,1
1622,F,Road,5,2,260.0,2,high,M,58.0,2018.0,1
1623,A,Road,3,1,180.0,3,high,F,21.0,1047.0,1
1624,B,Road,3,4,157.0,2,medium,M,12.0,1694.0,1
1625,C,Road,3,3,156.0,6,low,M,45.0,1602.0,1
1626,F,Road,4,4,236.0,7,medium,M,62.0,2280.0,1
1627,D,Road,5,2,240.0,7,medium,F,57.0,2708.0,1
1628,F,Road,4,2,104.0,7,medium,F,46.0,1438.0,1
1629,A,Road,4,2,140.0,3,medium,F,49.0,1820.0,1
1630,B,Road,3,2,150.0,3,medium,M,29.0,1354.0,1
1631,C,Road,6,2,286.0,7,medium,F,65.0,3362.0,1
1632,F,Road,5,5,224.0,8,low,F,49.0,3282.0,1
1633,D,Road,3,4,204.0,3,low,F,49.0,3225.0,1
1634,F,Road,5,2,266.0,7,low,F,12.0,2056.0,1
1635,A,Road,6,3,241.0,6,high,F,8.0,3878.0,1
1636,B,Road,4,2,278.0,6,low,F,36.0,2330.0,1
1637,C,Road,2,1,145.0,2,low,F,49.0,1177.0,1
1638,F,Road,5,4,140.0,4,high,F,5.0,1130.0,1
1639,D,Road,4,4,209.0,3,medium,F,52.0,2740.0,1
1640,F,Flight,3,1,233.0,3,medium,M,1.0,2744.0,1
1641,A,Flight,3,2,227.0,3,medium,M,21.0,2351.0,1
1642,B,Flight,5,4,258.0,2,medium,F,24.0,2878.0,1
1643,C,Flight,5,3,259.0,3,low,F,45.0,3335.0,1
1644,F,Flight,3,3,153.0,2,low,F,39.0,1328.0,1
1645,D,Flight,3,2,181.0,3,medium,M,45.0,3786.0,1
1646,F,Flight,4,4,143.0,8,medium,M,12.0,1326.0,1
1647,A,Flight,5,4,111.0,5,medium,F,42.0,1587.0,1
1648,B,Flight,4,4,198.0,2,medium,M,64.0,3787.0,1
1649,C,Flight,3,5,121.0,3,low,F,10.0,1701.0,1
1650,F,Flight,3,4,204.0,3,medium,F,27.0,2772.0,1
1651,D,Flight,4,2,203.0,5,low,F,20.0,3098.0,1
1652,F,Flight,4,1,167.0,3,low,F,57.0,1782.0,1
1653,A,Flight,4,5,270.0,3,medium,M,20.0,3185.0,1
1654,B,Flight,5,3,260.0,2,high,F,63.0,2715.0,1
1655,C,Flight,3,3,180.0,3,high,F,56.0,1684.0,1
1656,F,Flight,3,3,157.0,2,medium,F,62.0,1366.0,1
1657,D,Flight,3,5,156.0,6,low,M,65.0,1308.0,1
1658,F,Flight,4,5,236.0,7,medium,F,44.0,3808.0,1
1659,A,Flight,5,2,240.0,7,medium,F,47.0,2174.0,1
1660,B,Flight,4,1,104.0,7,medium,F,52.0,1083.0,1
1661,C,Flight,4,4,140.0,3,medium,F,4.0,1467.0,1
1662,F,Ship,3,2,150.0,3,medium,F,4.0,1910.0,1
1663,D,Ship,6,1,286.0,7,medium,F,7.0,2338.0,1
1664,F,Ship,5,5,224.0,8,low,F,48.0,2627.0,1
1665,A,Ship,3,5,204.0,3,low,F,45.0,2513.0,1
1666,B,Ship,5,2,266.0,7,low,M,40.0,2304.0,1
1667,C,Ship,4,5,268.0,3,low,F,59.0,2083.0,1
1668,F,Ship,4,5,267.0,4,low,M,20.0,3132.0,1
1669,D,Ship,3,5,223.0,4,low,F,46.0,3938.0,1
1670,F,Ship,5,5,164.0,5,low,M,52.0,1644.0,1
1671,A,Ship,4,2,209.0,4,low,F,10.0,3370.0,1
1672,B,Ship,3,2,192.0,3,low,F,19.0,3183.0,1
1673,C,Ship,3,2,260.0,3,medium,M,52.0,2874.0,1
1674,F,Ship,2,1,137.0,5,medium,F,3.0,1037.0,1
1675,D,Ship,3,3,267.0,2,low,M,18.0,2435.0,1
1676,F,Ship,3,3,111.0,3,medium,M,54.0,1712.0,1
1677,A,Ship,3,4,240.0,2,medium,F,2.0,3729.0,1
1678,B,Ship,5,1,234.0,3,medium,M,40.0,3340.0,1
1679,C,Ship,4,2,190.0,2,medium,M,37.0,2563.0,1
1680,F,Ship,5,2,265.0,2,high,M,24.0,2415.0,1
1681,D,Ship,3,4,189.0,3,medium,F,37.0,3492.0,1
1682,F,Ship,2,1,121.0,3,medium,M,25.0,1124.0,1
1683,A,Ship,4,3,101.0,6,low,M,37.0,1344.0,1
1684,B,Ship,3,3,250.0,3,medium,M,9.0,2752.0,1
1685,C,Ship,4,2,247.0,3,medium,F,64.0,2198.0,1
1686,F,Ship,4,4,162.0,3,medium,M,41.0,1104.0,1
1687,D,Ship,2,2,219.0,3,low,F,56.0,3608.0,1
1688,F,Ship,5,1,258.0,2,medium,F,48.0,3717.0,1
1689,A,Ship,5,4,221.0,2,low,F,59.0,3444.0,1
1690,B,Ship,2,4,137.0,3,high,F,41.0,1176.0,1
1691,C,Ship,3,4,174.0,2,medium,M,51.0,1430.0,1
1692,F,Ship,4,2,189.0,3,medium,M,6.0,3671.0,1
1693,D,Ship,4,4,212.0,4,medium,F,2.0,3830.0,1
1694,F,Ship,6,1,183.0,2,low,M,57.0,3966.0,1
1695,A,Ship,3,1,180.0,2,low,M,26.0,1715.0,1
1696,B,Ship,5,5,150.0,5,medium,F,61.0,1091.0,1
1697,C,Ship,4,3,246.0,3,medium,F,52.0,2440.0,1
1698,F,Ship,3,2,263.0,3,high,F,44.0,3802.0,1
1699,D,Ship,4,4,204.0,2,low,M,29.0,2941.0,1
1700,F,Ship,3,2,223.0,4,low,F,20.0,3955.0,1
1701,A,Ship,3,3,193.0,2,low,F,60.0,2581.0,1
1702,B,Ship,3,1,138.0,3,low,F,41.0,1914.0,1
1703,C,Ship,5,2,188.0,3,medium,F,50.0,3992.0,1
1704,F,Ship,4,3,201.0,3,low,F,46.0,3641.0,1
1705,D,Ship,3,3,245.0,2,medium,F,16.0,2577.0,1
1706,F,Ship,3,2,262.0,3,low,M,54.0,3150.0,1
1707,A,Ship,4,4,147.0,5,medium,F,33.0,1886.0,1
1708,B,Ship,3,1,254.0,3,medium,F,35.0,2965.0,1
1709,C,Ship,4,2,213.0,4,low,F,37.0,2184.0,1
1710,F,Ship,3,3,152.0,2,low,M,32.0,1665.0,1
1711,D,Ship,4,1,227.0,3,low,M,54.0,3972.0,1
1712,F,Ship,2,5,206.0,3,low,F,46.0,2944.0,1
1713,A,Ship,3,4,242.0,5,low,M,5.0,2307.0,1
1714,B,Ship,4,2,200.0,3,medium,M,45.0,2486.0,1
1715,C,Ship,4,1,142.0,2,low,M,26.0,1683.0,1
1716,F,Ship,3,3,275.0,3,low,F,61.0,2123.0,1
1717,D,Ship,6,1,222.0,5,medium,M,26.0,3137.0,1
1718,F,Ship,3,1,101.0,2,medium,F,56.0,1184.0,1
1719,A,Ship,4,5,178.0,3,high,M,22.0,1907.0,1
1720,B,Ship,3,2,243.0,3,medium,M,31.0,3943.0,1
1721,C,Ship,2,1,177.0,4,low,M,63.0,1058.0,1
1722,F,Ship,3,2,270.0,3,medium,M,31.0,2377.0,1
1723,D,Ship,5,3,186.0,4,medium,F,11.0,3676.0,1
1724,F,Ship,5,3,133.0,4,medium,F,29.0,1094.0,1
1725,A,Ship,3,2,263.0,4,medium,M,8.0,2599.0,1
1726,B,Ship,5,3,248.0,3,medium,M,4.0,2207.0,1
1727,C,Ship,5,2,150.0,3,medium,M,63.0,1807.0,1
1728,F,Ship,3,4,203.0,4,medium,M,46.0,3640.0,1
1729,D,Ship,2,3,249.0,2,low,M,1.0,2905.0,1
1730,F,Ship,3,3,238.0,3,medium,M,54.0,2860.0,1
1731,A,Ship,5,3,181.0,4,medium,F,32.0,3893.0,1
